	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11
z_1	0.684522979	0.307322435	0.008146906	7.68E-06	2.12E-10	1.11E-16	0	0	0	0	0
z_2	0.089300267	0.628548041	0.275906868	0.006239878	4.95E-06	1.14E-10	1.11E-16	0	0	0	0
z_3	0.000760786	0.105071824	0.64354684	0.245878276	0.004739118	3.16E-06	6.09E-11	0	0	0	0
z_4	2.93E-07	0.001054125	0.123416637	0.654468037	0.217489945	0.003568966	2.00E-06	3.22E-11	0	0	0
z_5	4.51E-12	4.79E-07	0.001448386	0.143842115	0.661105097	0.19093767	0.002665	1.25E-06	1.69E-11	0	0
z_6	2.65E-18	8.76E-12	7.78E-07	0.001973098	0.166360308	0.663331632	0.166360308	0.001973098	7.78E-07	8.76E-12	0
z_7	5.78E-26	6.11E-18	1.69E-11	1.25E-06	0.002665	0.19093767	0.661105097	0.143842115	0.001448386	4.79E-07	4.51E-12
z_8	4.65E-35	1.59E-25	1.40E-17	3.22E-11	2.00E-06	0.003568966	0.217489945	0.654468037	0.123416637	0.001054125	2.93E-07
z_9	1.36E-45	1.52E-34	4.33E-25	3.17E-17	6.09E-11	3.16E-06	0.004739118	0.245878276	0.64354684	0.105071824	0.000760786
z_10	1.45E-57	5.31E-45	4.93E-34	1.17E-24	7.13E-17	1.14E-10	4.95E-06	0.006239878	0.275906868	0.628548041	0.089300267
z_11	5.60E-71	6.73E-57	2.05E-44	1.58E-33	3.12E-24	1.59E-16	2.12E-10	7.68E-06	0.008146906	0.307322435	0.684522979
